Date,Customer ID,Truck ID,Invoice Number,Freight ID,City,Net Revenue,Weight (Kg),Weight (Cubic),Goods Value
2018/01/02,39575,23,774621,02/01/2018:MMA-4836,Berkshire Heights,"35,19","48,82",54,"1173,1"
2018/01/02,39956,23,774622,02/01/2018:MMA-4836,Berkshire Heights,"23,98","41,21",57,"798,91"
2018/01/02,34383,23,774506,02/01/2018:MMA-4836,Enders,"9,94","8,51","8,51","331,27"
2018/01/02,82,23,774625,02/01/2018:MMA-4836,Enders,"0,54","0,28","0,28","17,85"
2018/01/02,3366,23,774530,02/01/2018:MMA-4836,Enders,"69,23","95,07","95,07","2307,58"
2018/01/02,22343,23,774517,02/01/2018:MMA-4836,Enders,"5,96","5,34","5,34","198,62"
2018/01/02,22354,23,774604,02/01/2018:MMA-4836,Enders,"2,58","4,06","4,06","85,98"
2018/01/02,22354,23,774594,02/01/2018:MMA-4836,Enders,"6,02","12,77","12,77","201,02"
2018/01/02,22354,23,774603,02/01/2018:MMA-4836,Enders,"4,53","4,32","4,32","150,89"
2018/01/02,82,23,774624,02/01/2018:MMA-4836,Enders,"12,78","20,3","20,3","426,04"
2018/01/02,22106,6,774602,02/01/2018:MHN-5539,Newburg,"11,39","5,81","5,81","379,19"
2018/01/02,22106,6,774601,02/01/2018:MHN-5539,Newburg,"0,46",10,10,"15,2"
2018/01/02,22106,6,774599,02/01/2018:MHN-5539,Newburg,"1,28","0,66","0,66","42,74"
2018/01/02,22106,6,774600,02/01/2018:MHN-5539,Newburg,"0,18","0,4","0,4","5,94"
2018/01/02,33759,6,774598,02/01/2018:MHN-5539,Mcmechen,"14,22","8,09","8,09","473,89"
2018/01/02,33759,6,774597,02/01/2018:MHN-5539,Mcmechen,"0,46",10,10,"15,2"
2018/01/02,18711,6,774494,02/01/2018:MHN-5539,Mcmechen,"4,46","3,83","3,83","148,57"
2018/01/02,18711,6,774493,02/01/2018:MHN-5539,Mcmechen,"45,54","25,29","25,29","1518,02"
2018/01/03,4648,23,774862,03/01/2018:MMA-4836,Kilgore,"5,55","1,74",3,"185,01"
2018/01/03,9092,22,775084,03/01/2018:MMA-5926,Quinn,"6,42","2,58",3,"213,92"
2018/01/03,3693,23,775024,03/01/2018:MMA-4836,Kilgore,"4,58","2,77",6,"152,72"
2018/01/03,8255,22,775100,03/01/2018:MMA-5926,Quinn,"6,39","7,36",9,"212,89"
2018/01/03,28911,38,774743,03/01/2018:MMA-5946,Herrings Crossroads,"6,47","8,72",9,"215,57"
2018/01/03,33777,22,775092,03/01/2018:MMA-5926,Quinn,"14,35","4,99",9,"478,4"
2018/01/03,21430,33,774843,03/01/2018:MKU-5802,The Timbers,"6,86","8,99",9,"228,43"
2018/01/03,34248,33,774824,03/01/2018:MKU-5802,Osborn Corner,"9,25","8,08",9,"308,39"
2018/01/03,19553,33,774829,03/01/2018:MKU-5802,The Timbers,"3,11","4,23",9,"103,75"
2018/01/03,10031,29,775019,03/01/2018:MML-3632,Emerald Lakes,"2,78","6,58",15,"92,68"
2018/01/03,39718,29,775021,03/01/2018:MML-3632,Emerald Lakes,"5,4","7,83",15,"179,9"
2018/01/03,1564,22,775088,03/01/2018:MMA-5926,Quinn,"6,05","9,73",15,"201,65"
2018/01/03,6979,38,774752,03/01/2018:MMA-5946,Herrings Crossroads,"9,78","10,91",15,326
2018/01/03,39260,33,774838,03/01/2018:MKU-5802,Clintonville,"8,34","5,59",15,"278,16"
2018/01/03,24660,33,774835,03/01/2018:MKU-5802,Clintonville,"6,9","7,84",15,"230,04"
2018/01/03,3667,22,775087,03/01/2018:MMA-5926,Quinn,"3,88","4,17",12,"129,3"
2018/01/03,25658,29,775022,03/01/2018:MML-3632,Emerald Lakes,"4,08","11,72",12,"136,34"
2018/01/03,30157,38,774756,03/01/2018:MMA-5946,Herrings Crossroads,"10,12","9,47",12,"337,35"
2018/01/03,40258,38,774742,03/01/2018:MMA-5946,Herrings Crossroads,"11,1","10,17",12,"370,06"
2018/01/03,31455,33,774839,03/01/2018:MKU-5802,Clintonville,"9,36","6,23",12,"312,05"
2018/01/03,8390,23,774866,03/01/2018:MMA-4836,Kilgore,"15,73","13,88",18,"524,81"
2018/01/03,3123,23,775026,03/01/2018:MMA-4836,Enders,"13,06","12,77",18,"435,46"
2018/01/03,18609,23,775027,03/01/2018:MMA-4836,Enders,"7,51","11,57",21,"250,47"
2018/01/03,1424,38,774751,03/01/2018:MMA-5946,Herrings Crossroads,"26,75","19,5",21,"891,6"
2018/01/03,5200,22,775091,03/01/2018:MMA-5926,Quinn,"15,42","12,93",21,"514,05"
2018/01/03,40203,38,774759,03/01/2018:MMA-5946,Herrings Crossroads,"10,82","6,8",21,"360,66"
2018/01/03,11947,29,775016,03/01/2018:MML-3632,Emerald Lakes,"8,2","9,93",24,"273,17"
2018/01/03,36618,33,774844,03/01/2018:MKU-5802,Arbor Meadows,"5,4","9,58",24,"180,14"
2018/01/03,35476,36,774715,03/01/2018:MHR-5525,Yucca Valley,"1356,16","5945,16","5945,16",21190
2018/01/03,32551,24,774714,03/01/2018:MMA-5916,Farmers,"1506,93","5800,61","5800,61","23545,78"
2018/01/03,21814,22,775051,03/01/2018:MMA-5926,Pitt,"209,86","245,84","245,84","6995,02"
2018/01/03,21814,22,775052,03/01/2018:MMA-5926,Pitt,"23,33","31,04",219,"777,28"
2018/01/03,21814,22,775050,03/01/2018:MMA-5926,Pitt,"43,77","22,86","22,86","1459,13"
2018/01/03,1686,28,775014,03/01/2018:MHQ-9301,Sparta,"25,01","37,36","37,36","926,28"
2018/01/03,35040,28,775015,03/01/2018:MHQ-9301,Chestnut Crossroads,"25,54","49,82","49,82","945,98"
2018/01/03,22710,29,775037,03/01/2018:MML-3632,Emerald Lakes,"23,67","32,1",96,"788,96"
2018/01/03,22709,29,775035,03/01/2018:MML-3632,Emerald Lakes,"38,02","205,12","205,12","1267,2"
2018/01/03,22711,29,775036,03/01/2018:MML-3632,Emerald Lakes,"49,8","69,58",186,"1660,03"
2018/01/03,22711,29,775034,03/01/2018:MML-3632,Emerald Lakes,"40,92","244,42","244,42","1363,84"
2018/01/03,12395,29,775020,03/01/2018:MML-3632,Emerald Lakes,"2,57","1,97","1,97","85,53"
2018/01/03,23030,29,775018,03/01/2018:MML-3632,Emerald Lakes,"6,01","7,76",54,"200,48"
2018/01/03,38522,29,775017,03/01/2018:MML-3632,Emerald Lakes,"2,93","16,45","16,45","97,62"
2018/01/03,22703,29,775032,03/01/2018:MML-3632,Emerald Lakes,"36,55","78,76","78,76","571,3"
2018/01/03,35993,29,775033,03/01/2018:MML-3632,Emerald Lakes,"267,98","830,2","830,2","4187,12"
2018/01/03,15849,22,775099,03/01/2018:MMA-5926,Quinn,"16,58","17,41",30,"552,61"
2018/01/03,31085,22,775090,03/01/2018:MMA-5926,Quinn,"6,22","10,59","10,59","207,41"
2018/01/03,37187,22,775089,03/01/2018:MMA-5926,Quinn,"23,59","29,1",36,"786,26"
2018/01/03,3058,22,775082,03/01/2018:MMA-5926,Quinn,"22,81","29,65",87,"760,35"
2018/01/03,3063,22,775086,03/01/2018:MMA-5926,Quinn,"11,36","12,72",45,"378,67"
2018/01/03,8632,22,775085,03/01/2018:MMA-5926,Quinn,"24,71","33,42","33,42","823,83"
2018/01/03,34406,22,775083,03/01/2018:MMA-5926,Quinn,"5,24","7,76",54,"174,72"
2018/01/03,39012,38,774744,03/01/2018:MMA-5946,Herrings Crossroads,"32,64","43,77",60,"1087,97"
2018/01/03,24468,38,774720,03/01/2018:MMA-5946,Herrings Crossroads,"223,98","344,05",1491,"7465,88"
2018/01/03,20590,38,774750,03/01/2018:MMA-5946,Herrings Crossroads,"11,36","15,97","15,97","378,64"
2018/01/03,14247,38,774753,03/01/2018:MMA-5946,Herrings Crossroads,"30,11","24,94","24,94","1003,66"
2018/01/03,5264,38,774754,03/01/2018:MMA-5946,Herrings Crossroads,"20,7","22,85","22,85","690,05"
2018/01/03,39716,38,774749,03/01/2018:MMA-5946,Herrings Crossroads,"158,31","350,68","350,68","5276,96"
2018/01/03,274,38,774747,03/01/2018:MMA-5946,Herrings Crossroads,"25,35","28,97",39,"844,86"
2018/01/03,8320,38,774757,03/01/2018:MMA-5946,Herrings Crossroads,"29,08","28,51","28,51","969,53"
2018/01/03,38306,38,774745,03/01/2018:MMA-5946,Herrings Crossroads,"17,54","28,5","28,5","584,83"
2018/01/03,20174,38,774748,03/01/2018:MMA-5946,Herrings Crossroads,"40,39","104,15","104,15","1346,36"
2018/01/03,12503,38,774755,03/01/2018:MMA-5946,Herrings Crossroads,"12,86","22,39","22,39","428,41"
2018/01/03,893,38,774758,03/01/2018:MMA-5946,Herrings Crossroads,"26,82","26,33","26,33","894,14"
2018/01/03,860,38,774746,03/01/2018:MMA-5946,Herrings Crossroads,"12,48","13,09","13,09","416,04"
2018/01/03,24468,38,774721,03/01/2018:MMA-5946,Herrings Crossroads,"101,55","57,27","57,27","3385,23"
2018/01/03,10101,3,775107,03/01/2018:MJT-4829,Mineola,"258,04","180,32","180,32","4031,8"
2018/01/03,10101,3,774719,03/01/2018:MJT-4829,Mineola,"2270,92","8522,05","8522,05","35482,9"
2018/01/03,3693,23,775023,03/01/2018:MMA-4836,Kilgore,"55,27","22,4",39,"1842,25"
2018/01/03,14516,23,774869,03/01/2018:MMA-4836,Kilgore,"0,08",1,1,"2,86"
2018/01/03,23574,23,774864,03/01/2018:MMA-4836,Kilgore,"9,71","15,15","15,15","323,76"
2018/01/03,20772,23,774863,03/01/2018:MMA-4836,Kilgore,"26,61","23,1","23,1","887,09"
2018/01/03,14516,23,774868,03/01/2018:MMA-4836,Kilgore,"9,16","11,48","11,48","305,29"
2018/01/03,7476,23,774867,03/01/2018:MMA-4836,Kilgore,"9,67","17,43","17,43","322,33"
2018/01/03,19547,23,774865,03/01/2018:MMA-4836,Kilgore,"6,49","6,15","6,15","216,2"
2018/01/03,22719,23,775025,03/01/2018:MMA-4836,Enders,"32,28","28,09",57,"1075,92"
2018/01/03,39187,23,774870,03/01/2018:MMA-4836,Enders,8,"3,43","3,43","266,72"
2018/01/03,10105,23,774716,03/01/2018:MMA-4836,Enders,"154,82","108,19","108,19","2419,08"
2018/01/03,3463,33,774825,03/01/2018:MKU-5802,Osborn Corner,"3,41","0,52","0,52","113,73"
2018/01/03,1625,33,774826,03/01/2018:MKU-5802,The Timbers,"10,84","14,29","14,29","361,19"
2018/01/03,23975,33,774827,03/01/2018:MKU-5802,The Timbers,"17,17","43,97","43,97","572,23"
2018/01/03,23489,33,774828,03/01/2018:MKU-5802,The Timbers,"38,42","44,29","44,29","1280,74"
2018/01/03,18821,33,774841,03/01/2018:MKU-5802,Clintonville,"8,48","4,79","4,79","282,58"
2018/01/03,18952,33,774834,03/01/2018:MKU-5802,Clintonville,"18,73","24,72",48,"624,5"
2018/01/03,19957,33,774837,03/01/2018:MKU-5802,Clintonville,"27,63","48,72","48,72","921,16"
2018/01/03,31455,33,774840,03/01/2018:MKU-5802,Clintonville,"0,46","0,03","0,03","15,42"
2018/01/03,26457,33,774836,03/01/2018:MKU-5802,Clintonville,"2,77","0,82","0,82","92,43"
2018/01/03,21009,33,774845,03/01/2018:MKU-5802,Arbor Meadows,"28,2","31,82",39,"940,02"
2018/01/03,10045,33,774830,03/01/2018:MKU-5802,Kaawaloa,"0,08",1,1,"2,9"
2018/01/03,10045,33,774832,03/01/2018:MKU-5802,Kaawaloa,"0,46","0,03","0,03","15,42"
2018/01/03,10045,33,774831,03/01/2018:MKU-5802,Kaawaloa,"18,16","16,41",42,"605,33"
2018/01/03,12145,33,774842,03/01/2018:MKU-5802,Kaawaloa,"7,69","4,21","4,21","256,19"
2018/01/03,39259,33,774833,03/01/2018:MKU-5802,Kaawaloa,"2,99","4,81","4,81","99,72"
2018/01/03,21079,4,774722,03/01/2018:MHJ-9634,Brighton Corner,"38,84","57,07",291,"1294,56"
2018/01/03,33611,6,774947,03/01/2018:MHN-5539,Kenwood Park,"24,92","21,41","21,41","830,62"
2018/01/03,34434,6,774949,03/01/2018:MHN-5539,River View,"5,82","3,88","3,88","194,04"
2018/01/03,34434,6,774948,03/01/2018:MHN-5539,River View,"0,08",1,1,"2,86"
2018/01/03,25697,6,774939,03/01/2018:MHN-5539,Page,"32,05","103,16","103,16","500,85"
2018/01/03,32652,6,774941,03/01/2018:MHN-5539,Thorn,"53,49","206,04","206,04","835,73"
2018/01/03,7502,6,774928,03/01/2018:MHN-5539,Thorn,"85,48","290,35","290,35","1335,58"
2018/01/03,3261,6,774932,03/01/2018:MHN-5539,Page,"10,51","37,2","37,2",164
2018/01/03,27415,6,774930,03/01/2018:MHN-5539,Page,"11,61","39,44","39,44","181,6"
2018/01/03,10503,6,774942,03/01/2018:MHN-5539,Kenwood Park,"10,51","40,86","40,86","164,16"
2018/01/03,18872,6,774929,03/01/2018:MHN-5539,Page,"10,89","45,61","45,61","170,1"
2018/01/03,6212,6,774940,03/01/2018:MHN-5539,Thorn,"142,57","409,21","409,21","2227,72"
2018/01/03,10255,6,774931,03/01/2018:MHN-5539,Page,"24,87","97,95","97,95","388,63"
2018/01/03,21056,6,774933,03/01/2018:MHN-5539,Page,"9,86","28,93","28,93","153,9"
2018/01/03,33907,6,774946,03/01/2018:MHN-5539,Mcmechen,"14,04","35,17","35,17","467,95"
2018/01/03,18712,6,774945,03/01/2018:MHN-5539,Mcmechen,"11,18","17,49",51,"372,77"
2018/01/03,18711,6,774944,03/01/2018:MHN-5539,Mcmechen,"54,27","103,32",114,"1808,69"
2018/01/03,23984,38,774882,03/01/2018:MMA-5946,Bloom,"63,86","186,78","186,78","9630,57"
2018/01/03,30232,2,775105,03/01/2018:MJD-6976,Wheatland,"2292,84","9169,94","9169,94","35825,66"
2018/01/03,31024,22,775097,03/01/2018:MMA-5926,Wheatland,"19,54","18,72",24,"651,24"
2018/01/03,6164,22,775094,03/01/2018:MMA-5926,Wheatland,"20,06","16,47",21,"668,75"
2018/01/03,21812,22,775046,03/01/2018:MMA-5926,Wheatland,"49,9","55,18",69,"1663,42"
2018/01/03,5604,22,775093,03/01/2018:MMA-5926,Wheatland,"6,58","26,46","26,46","219,38"
2018/01/03,34993,22,775095,03/01/2018:MMA-5926,Wheatland,"7,25","23,33","23,33","241,66"
2018/01/03,40132,22,775101,03/01/2018:MMA-5926,Wheatland,"7,06","3,04","3,04","235,44"
2018/01/03,18296,22,775096,03/01/2018:MMA-5926,Wheatland,"47,8","103,58",138,"1593,41"
2018/01/03,17706,22,775098,03/01/2018:MMA-5926,Wheatland,"26,71","46,36",66,"890,27"
2018/01/03,21812,22,775045,03/01/2018:MMA-5926,Wheatland,"13,17","7,61","7,61","438,93"
2018/01/03,12266,22,775104,03/01/2018:MMA-5926,Wheatland,46,"151,99","151,99","2545,3"
2018/01/03,21813,22,775049,03/01/2018:MMA-5926,Wheatland,"16,93","21,08",132,"564,5"
2018/01/03,21813,22,775047,03/01/2018:MMA-5926,Wheatland,"7,66","2,27","2,27","255,21"
2018/01/03,21813,22,775048,03/01/2018:MMA-5926,Wheatland,"20,41","31,96","31,96","680,24"
2018/01/04,9197,38,775225,04/01/2018:MMA-5946,Herrings Crossroads,"5,64","1,74",3,"188,12"
2018/01/04,2358,23,775338,04/01/2018:MMA-4836,Pitt,"1,06","2,43",3,"35,2"
2018/01/04,40316,33,775187,04/01/2018:MKU-5802,Tarpey,"4,06","1,48",3,"135,4"
2018/01/04,4301,33,775186,04/01/2018:MKU-5802,Tarpey,"3,01","2,7",3,"100,3"
2018/01/04,9861,4,775135,04/01/2018:MHJ-9634,Brighton Corner,"7,1","2,75",3,"236,61"
2018/01/04,21076,4,775136,04/01/2018:MHJ-9634,Brighton Corner,"7,61","2,84",3,"253,64"
2018/01/04,11965,33,775177,04/01/2018:MKU-5802,Eastwood Subdivision Number 2,"6,22","3,2",6,"207,18"
2018/01/04,36742,33,775181,04/01/2018:MKU-5802,Eastwood Subdivision Number 2,"6,93","2,49",6,"231,1"
2018/01/04,9276,33,775179,04/01/2018:MKU-5802,Eastwood Subdivision Number 2,"6,45","4,68",6,"214,94"
2018/01/04,38713,33,775180,04/01/2018:MKU-5802,Eastwood Subdivision Number 2,"6,24","3,79",6,"208,15"
2018/01/04,36671,22,775297,04/01/2018:MMA-5926,Scammon,"2,55","1,45",6,"85,31"
2018/01/04,37577,22,775290,04/01/2018:MMA-5926,Sandy Lane,"9,2","3,63",6,"306,8"
2018/01/04,8923,22,775293,04/01/2018:MMA-5926,Sandy Lane,"5,93","2,44",6,"197,8"
2018/01/04,6222,34,775410,04/01/2018:MHN-5439,Loyce,"6,02","5,91",6,"201,12"
2018/01/04,485,38,775441,04/01/2018:MMA-5946,Herrings Crossroads,"5,35","5,36",6,"178,2"
2018/01/04,9515,38,775236,04/01/2018:MMA-5946,Herrings Crossroads,"8,72","5,57",6,"290,72"
2018/01/04,28996,38,775230,04/01/2018:MMA-5946,Farmers,"8,47","5,76",6,"282,29"
2018/01/04,4154,38,775238,04/01/2018:MMA-5946,Herrings Crossroads,"15,36","5,5",9,"511,95"
2018/01/04,13802,38,775442,04/01/2018:MMA-5946,Herrings Crossroads,"4,94","3,38",9,"164,82"
2018/01/04,24638,38,775446,04/01/2018:MMA-5946,Herrings Crossroads,"7,11","8,99",9,"236,93"
2018/01/04,7269,38,775232,04/01/2018:MMA-5946,Herrings Crossroads,"15,69","14,75",15,"522,93"
2018/01/04,27492,4,775142,04/01/2018:MHJ-9634,Brighton Corner,"16,36","10,96",15,"545,47"
2018/01/04,32593,38,775235,04/01/2018:MMA-5946,Herrings Crossroads,"5,95","8,17",12,"198,39"
2018/01/04,34496,4,775146,04/01/2018:MHJ-9634,Brighton Corner,"5,87","5,39",12,"195,58"
2018/01/04,19412,38,775237,04/01/2018:MMA-5946,Herrings Crossroads,"6,29","11,45",18,"209,62"
2018/01/04,9781,38,775226,04/01/2018:MMA-5946,Herrings Crossroads,"17,65","16,59",18,"588,27"
2018/01/04,20143,33,775183,04/01/2018:MKU-5802,Tarpey,"6,17","8,45",18,"205,66"
2018/01/04,21315,33,775113,04/01/2018:MKU-5802,Jewell Valley,"13,14","19,92",21,"438,39"
2018/01/04,2589,4,775138,04/01/2018:MHJ-9634,Brighton Corner,"2,58","3,39",24,"85,92"
2018/01/04,29375,34,775411,04/01/2018:MHN-5439,Loyce,"6,33","5,25",24,"210,93"
2018/01/04,38436,33,775118,04/01/2018:MKU-5802,Jewell Valley,"20,11","13,01",24,"670,43"
2018/01/04,12566,33,775114,04/01/2018:MKU-5802,Jewell Valley,"15,33","26,76",27,"510,94"
2018/01/04,25632,33,775116,04/01/2018:MKU-5802,Jewell Valley,"7,57","10,63",27,"252,44"
2018/01/04,35305,4,775121,04/01/2018:MHJ-9634,Brighton Corner,"23,43","15,36",27,"781,05"
2018/01/04,11251,34,775408,04/01/2018:MHN-5439,Loyce,"30,2","17,16",33,"1006,59"
2018/01/04,22075,34,775406,04/01/2018:MHN-5439,Loyce,"41,83","27,6",39,"1394,44"
2018/01/04,6114,34,775407,04/01/2018:MHN-5439,Loyce,"207,52","248,3",441,"6917,28"
2018/01/04,24539,34,775409,04/01/2018:MHN-5439,Loyce,"4,9","6,9","6,9","163,42"
2018/01/04,2358,23,775339,04/01/2018:MMA-4836,Pitt,"308,53","318,98",654,"10284,39"
2018/01/04,3061,23,775254,04/01/2018:MMA-4836,Pitt,"94,88","154,16",459,"3162,59"
2018/01/04,28996,38,775229,04/01/2018:MMA-5946,Farmers,"0,08",1,1,"2,82"
2018/01/04,8692,38,775239,04/01/2018:MMA-5946,Herrings Crossroads,"3,08","5,99","5,99","102,84"
2018/01/04,39716,38,775231,04/01/2018:MMA-5946,Herrings Crossroads,"12,29",16,16,"409,8"
2018/01/04,9578,38,775228,04/01/2018:MMA-5946,Herrings Crossroads,"20,88",18,108,696
2018/01/04,25282,38,775445,04/01/2018:MMA-5946,Herrings Crossroads,"8,58","16,84","16,84","286,16"
2018/01/04,33290,38,775234,04/01/2018:MMA-5946,Herrings Crossroads,"39,11","32,78","32,78","1303,61"
2018/01/04,3407,38,775248,04/01/2018:MMA-5946,Herrings Crossroads,"25,55","69,93","69,93","852,11"
2018/01/04,32052,38,775233,04/01/2018:MMA-5946,Herrings Crossroads,"64,34","121,94","121,94","2144,71"
2018/01/04,24774,38,775444,04/01/2018:MMA-5946,Herrings Crossroads,"6,02","3,82","3,82","200,83"
2018/01/04,23505,38,775227,04/01/2018:MMA-5946,Herrings Crossroads,"8,98","8,65","8,65","298,96"
2018/01/04,34424,38,775443,04/01/2018:MMA-5946,Herrings Crossroads,"23,69","34,27",120,"789,54"
2018/01/04,36427,38,775249,04/01/2018:MMA-5946,Herrings Crossroads,"33,67","65,06","65,06","1122,23"
2018/01/04,35640,38,775447,04/01/2018:MMA-5946,Herrings Crossroads,"12,83","6,55","6,55","427,55"
2018/01/04,17424,19,775404,04/01/2018:MDB-1602,Banner Crest,"26,49","45,67",63,"883,12"
2018/01/04,17362,19,775403,04/01/2018:MDB-1602,Banner Crest,"10,53","41,42","41,42","164,5"
2018/01/04,2182,33,775182,04/01/2018:MKU-5802,Tarpey,"8,92","16,51","16,51","297,08"
2018/01/04,10201,33,775184,04/01/2018:MKU-5802,Tarpey,"7,35","3,5","3,5","245,04"
2018/01/04,13839,33,775185,04/01/2018:MKU-5802,Tarpey,"2,58","3,46","3,46","85,95"
2018/01/04,40316,33,775188,04/01/2018:MKU-5802,Tarpey,"0,08",1,1,"2,86"
2018/01/04,6633,33,775178,04/01/2018:MKU-5802,Eastwood Subdivision Number 2,"6,82","11,72","11,72","227,45"
2018/01/04,24120,33,775110,04/01/2018:MKU-5802,Applegate,"19,04",20,20,"634,61"
2018/01/04,23585,33,775111,04/01/2018:MKU-5802,Jewell Valley,"3,14","7,8","7,8","104,92"
2018/01/04,12566,33,775115,04/01/2018:MKU-5802,Jewell Valley,"0,51","0,16","0,16","16,88"
2018/01/04,22131,33,775112,04/01/2018:MKU-5802,Jewell Valley,"39,55","41,76",51,"1318,38"
2018/01/04,24448,33,775117,04/01/2018:MKU-5802,Kaawaloa,"50,45","38,18",39,"1681,32"
2018/01/04,10328,4,775137,04/01/2018:MHJ-9634,Brighton Corner,"6,43","21,41",33,"214,19"
2018/01/04,4497,4,775131,04/01/2018:MHJ-9634,Brighton Corner,"73,99","78,67",102,"2466,41"
2018/01/04,8868,4,775134,04/01/2018:MHJ-9634,Brighton Corner,"6,43","5,03","5,03","214,44"
2018/01/04,14314,4,775133,04/01/2018:MHJ-9634,Brighton Corner,"6,4","3,92","3,92","213,37"
2018/01/04,26232,4,775119,04/01/2018:MHJ-9634,Brighton Corner,"0,78","0,25","0,25","26,14"
2018/01/04,35222,4,775143,04/01/2018:MHJ-9634,Brighton Corner,"0,36","3,22","3,22","11,97"
2018/01/04,35222,4,775120,04/01/2018:MHJ-9634,Brighton Corner,"0,78","0,25","0,25","26,14"
2018/01/04,29648,4,775140,04/01/2018:MHJ-9634,Brighton Corner,"0,53","0,28","0,28","17,58"
2018/01/04,11445,4,775132,04/01/2018:MHJ-9634,Brighton Corner,"55,37","43,03","43,03","1845,77"
2018/01/04,35222,4,775144,04/01/2018:MHJ-9634,Brighton Corner,"6,08","7,44","7,44","202,95"
2018/01/04,16002,4,775139,04/01/2018:MHJ-9634,Brighton Corner,"8,84","18,81","18,81","294,7"
2018/01/04,26232,4,775128,04/01/2018:MHJ-9634,Brighton Corner,"6,47","10,91","10,91","215,54"
2018/01/04,35222,4,775145,04/01/2018:MHJ-9634,Brighton Corner,"23,11","52,49","52,49","770,17"
2018/01/04,38434,4,775148,04/01/2018:MHJ-9634,Brighton Corner,"27,95","51,55","51,55","931,74"
2018/01/04,37188,4,775147,04/01/2018:MHJ-9634,Brighton Corner,"7,14","25,97","25,97","238,27"
2018/01/04,26232,4,775127,04/01/2018:MHJ-9634,Brighton Corner,"0,54","0,28","0,28","17,85"
2018/01/04,29648,4,775141,04/01/2018:MHJ-9634,Brighton Corner,"17,73","63,01","63,01","591,29"
2018/01/04,37402,4,775149,04/01/2018:MHJ-9634,Sowash,"0,08",1,1,"2,86"
