orden_id,cliente_id,ciudad_destino,cedi_id,peso_kg,vol_m3,revenue,fecha
ORD00621,36251,San Jose,HUB-WEST,1.0,1.0,,2018-01-09
ORD00622,12209,Houston,HUB-SOUTH,1.0,1.0,,2018-01-09
ORD00623,24116,Dallas,HUB-SOUTH,1.0,1.0,,2018-01-09
ORD00643,5103,San Jose,HUB-WEST,1.0,6.0,,2018-01-10
ORD00687,26052,Jacksonville,HUB-EAST,600.0,600.0,,2018-01-10
ORD00716,17424,Austin,HUB-SOUTH,1.0,1.0,,2018-01-10
ORD00720,21509,Chicago,HUB-MID,1.0,1.0,,2018-01-10
ORD00721,4857,Denver,HUB-WEST,1.0,1.0,,2018-01-10
ORD00722,18250,San Francisco,HUB-WEST,1.0,1.0,,2018-01-10
ORD00728,28038,San Jose,HUB-WEST,1.0,1.0,,2018-01-10
ORD00732,12139,Denver,HUB-WEST,1.0,1.0,,2018-01-10
ORD00737,19818,San Antonio,HUB-SOUTH,1.0,1.0,,2018-01-10
ORD00745,24481,San Diego,HUB-WEST,300.0,300.0,,2018-01-10
ORD00747,19817,San Antonio,HUB-SOUTH,300.0,300.0,,2018-01-10
ORD00748,19815,San Antonio,HUB-SOUTH,600.0,600.0,,2018-01-10
ORD00749,32200,Houston,HUB-SOUTH,350.0,350.0,,2018-01-10
ORD00754,19816,Jacksonville,HUB-EAST,200.0,200.0,,2018-01-10
ORD00756,32802,Charlotte,HUB-EAST,1.0,1.0,,2018-01-10
ORD00777,34189,Chicago,HUB-MID,1.0,1.0,,2018-01-10
ORD00789,35593,New York,HUB-EAST,10.0,10.0,,2018-01-10
ORD00790,13761,Los Angeles,HUB-WEST,13.0,13.0,,2018-01-10
ORD00874,9273,Columbus,HUB-MID,1.0,1.0,,2018-01-11
ORD00882,39532,Dallas,HUB-SOUTH,1.0,1.0,,2018-01-11
ORD00911,14075,Houston,HUB-SOUTH,4.0,4.0,,2018-01-11
ORD00946,4118,Nashville,HUB-EAST,1.0,1.0,,2018-01-11
ORD00947,137,Chicago,HUB-MID,1.0,1.0,,2018-01-11
ORD00950,25670,Los Angeles,HUB-WEST,1.0,1.0,,2018-01-11
ORD00954,21045,Indianapolis,HUB-MID,1.0,1.0,,2018-01-11
ORD00960,36339,Houston,HUB-SOUTH,1.0,1.0,,2018-01-11
ORD00971,28614,Dallas,HUB-SOUTH,1.0,1.0,,2018-01-11
ORD00976,10349,Los Angeles,HUB-WEST,1.0,1.0,,2018-01-11
ORD01011,11562,Indianapolis,HUB-MID,6.0,6.0,,2018-01-12
ORD01042,20217,Dallas,HUB-SOUTH,15.0,15.0,,2018-01-12
ORD01079,35685,San Francisco,HUB-WEST,1.0,1.0,,2018-01-12
ORD01081,9797,Nashville,HUB-EAST,1.0,1.0,,2018-01-12
ORD01116,28949,Nashville,HUB-EAST,2.0,2.0,,2018-01-12
ORD01128,34570,Jacksonville,HUB-EAST,1.0,1.0,,2018-01-12
ORD01130,21944,Dallas,HUB-SOUTH,1.0,1.0,,2018-01-12
ORD01164,3669,Austin,HUB-SOUTH,1.0,1.0,,2018-01-12
ORD01176,18389,San Antonio,HUB-SOUTH,109.0,109.0,,2018-01-12
ORD01184,18633,Dallas,HUB-SOUTH,1.0,1.0,,2018-01-12
ORD01187,10936,Jacksonville,HUB-EAST,1.0,1.0,,2018-01-12
ORD01196,15710,Charlotte,HUB-EAST,1.0,1.0,,2018-01-12
ORD01198,15020,San Francisco,HUB-WEST,1.0,1.0,,2018-01-12
ORD01199,16424,Fort Worth,HUB-SOUTH,1.0,1.0,,2018-01-12
ORD01215,14057,Chicago,HUB-MID,1.0,1.0,,2018-01-12
ORD01216,35649,Austin,HUB-SOUTH,1.0,1.0,,2018-01-12
ORD01272,1152,Denver,HUB-WEST,1.0,1.0,,2018-01-15
ORD01273,3835,Columbus,HUB-MID,1.0,1.0,,2018-01-15
ORD01276,6449,Columbus,HUB-MID,1.0,1.0,,2018-01-15
ORD01287,16259,Phoenix,HUB-WEST,1.0,1.0,,2018-01-15
ORD01289,23534,Fort Worth,HUB-SOUTH,1.0,1.0,,2018-01-15
ORD01297,12834,Columbus,HUB-MID,486.0,486.0,,2018-01-15
ORD01300,10837,Indianapolis,HUB-MID,1.0,1.0,,2018-01-15
ORD01353,19999,Denver,HUB-WEST,1188.0,1686.0,,2018-01-16
ORD01377,32294,Indianapolis,HUB-MID,1.0,1.0,,2018-01-16
ORD01387,23121,San Antonio,HUB-SOUTH,109.0,109.0,,2018-01-16
ORD01393,14516,Charlotte,HUB-EAST,1.0,1.0,,2018-01-16
ORD01400,5089,Seattle,HUB-WEST,1.0,1.0,,2018-01-16
ORD01405,2975,Houston,HUB-SOUTH,1.0,1.0,,2018-01-16
ORD01408,472,New York,HUB-EAST,1.0,1.0,,2018-01-16
ORD01416,7420,Fort Worth,HUB-SOUTH,19.0,19.0,,2018-01-16
ORD01421,28288,Nashville,HUB-EAST,1.0,1.0,,2018-01-16
ORD01432,13701,Houston,HUB-SOUTH,1.0,1.0,,2018-01-16
ORD01433,33709,Jacksonville,HUB-EAST,1.0,1.0,,2018-01-16
ORD01441,23489,Austin,HUB-SOUTH,1.0,1.0,,2018-01-16
ORD01443,23975,Dallas,HUB-SOUTH,1.0,1.0,,2018-01-16
ORD01447,18821,Nashville,HUB-EAST,1.0,1.0,,2018-01-16
ORD01449,19957,Chicago,HUB-MID,1.0,1.0,,2018-01-16
ORD01454,32162,Jacksonville,HUB-EAST,1.0,1.0,,2018-01-16
ORD01463,21009,Los Angeles,HUB-WEST,1.0,1.0,,2018-01-16
ORD01496,22433,Jacksonville,HUB-EAST,1.0,1.0,,2018-01-16
ORD01518,38550,San Jose,HUB-WEST,12.0,12.0,,2018-01-17
ORD01559,23313,Seattle,HUB-WEST,1.0,1.0,,2018-01-17
ORD01575,10040,San Antonio,HUB-SOUTH,1.0,1.0,,2018-01-17
ORD01602,7476,San Francisco,HUB-WEST,1.0,1.0,,2018-01-17
ORD01605,16736,Seattle,HUB-WEST,1.0,1.0,,2018-01-17
ORD01606,11745,Chicago,HUB-MID,1.0,1.0,,2018-01-17
ORD01614,16037,Los Angeles,HUB-WEST,1.0,1.0,,2018-01-17
ORD01616,21953,Indianapolis,HUB-MID,1.0,1.0,,2018-01-17
ORD01619,21847,Nashville,HUB-EAST,1.0,1.0,,2018-01-17
ORD01621,6013,New York,HUB-EAST,1.0,1.0,,2018-01-17
ORD01622,22346,Denver,HUB-WEST,1.0,1.0,,2018-01-17
ORD01647,13516,Columbus,HUB-MID,2.0,2.0,,2018-01-17
ORD01648,6001,Nashville,HUB-EAST,1.0,1.0,,2018-01-17
ORD01649,40068,San Francisco,HUB-WEST,1.0,1.0,,2018-01-17
ORD01650,19336,Houston,HUB-SOUTH,1.0,1.0,,2018-01-17
ORD01703,32322,Houston,HUB-SOUTH,1.0,1.0,,2018-01-18
ORD01706,12232,Nashville,HUB-EAST,1.0,1.0,,2018-01-18
ORD01712,21315,Seattle,HUB-WEST,1.0,1.0,,2018-01-18
ORD01714,5791,Fort Worth,HUB-SOUTH,1.0,1.0,,2018-01-18
ORD01718,6633,Dallas,HUB-SOUTH,1.0,1.0,,2018-01-18
ORD01724,23881,Austin,HUB-SOUTH,2289.0,2289.0,,2018-01-18
ORD01739,39249,Phoenix,HUB-WEST,1.0,1.0,,2018-01-18
ORD01741,34581,Charlotte,HUB-EAST,1.0,1.0,,2018-01-18
ORD01757,19919,Fort Worth,HUB-SOUTH,1.0,1.0,,2018-01-18
ORD01758,9994,Jacksonville,HUB-EAST,80.0,336.0,,2018-01-18
ORD01764,2821,Jacksonville,HUB-EAST,1.0,1.0,,2018-01-18
ORD01769,36383,Houston,HUB-SOUTH,1.0,1.0,,2018-01-18
ORD01774,23034,Indianapolis,HUB-MID,1.0,1.0,,2018-01-18
ORD01782,19688,New York,HUB-EAST,1.0,1.0,,2018-01-18
ORD01795,10433,Phoenix,HUB-WEST,1.0,1.0,,2018-01-18
ORD01796,20666,Nashville,HUB-EAST,1.0,1.0,,2018-01-18
ORD01797,19880,Houston,HUB-SOUTH,1.0,1.0,,2018-01-18
ORD01798,11581,San Jose,HUB-WEST,1.0,1.0,,2018-01-18
ORD01802,23984,San Jose,HUB-WEST,196.0,196.0,,2018-01-18
ORD01830,23420,San Diego,HUB-WEST,5.0,6.0,,2018-01-19
ORD01873,36464,Denver,HUB-WEST,3.0,18.0,,2018-01-19
ORD01876,35865,Phoenix,HUB-WEST,3.0,18.0,,2018-01-19
ORD01928,21605,Houston,HUB-SOUTH,109.0,109.0,,2018-01-19
ORD01931,19328,San Jose,HUB-WEST,1635.0,1635.0,,2018-01-19
ORD01994,37111,Indianapolis,HUB-MID,109.0,109.0,,2018-01-19
ORD02002,36230,San Diego,HUB-WEST,2.0,2.0,,2018-01-19
ORD02012,24723,Houston,HUB-SOUTH,4.0,4.0,,2018-01-19
ORD02023,18084,Jacksonville,HUB-EAST,28.0,39.0,,2018-01-19
ORD02026,13290,Fort Worth,HUB-SOUTH,1.0,1.0,,2018-01-19
ORD02027,20894,Nashville,HUB-EAST,1.0,1.0,,2018-01-19
ORD02037,1927,New York,HUB-EAST,1.0,1.0,,2018-01-19
ORD02040,37907,Philadelphia,HUB-EAST,1.0,1.0,,2018-01-19
ORD02047,605,Austin,HUB-SOUTH,1.0,1.0,,2018-01-19
ORD02052,38380,San Diego,HUB-WEST,1.0,1.0,,2018-01-19
ORD02053,38668,Denver,HUB-WEST,1.0,1.0,,2018-01-19
ORD02059,23979,Dallas,HUB-SOUTH,28.0,36.0,,2018-01-19
ORD02135,21814,Columbus,HUB-MID,4.0,4.0,,2018-01-22
ORD02177,3279,San Jose,HUB-WEST,1.0,1.0,,2018-01-22
ORD02207,16389,San Francisco,HUB-WEST,1.0,1.0,,2018-01-22
ORD02217,6151,Nashville,HUB-EAST,4.0,4.0,,2018-01-22
ORD02283,19791,Indianapolis,HUB-MID,545.0,545.0,,2018-01-23
ORD02286,18677,Denver,HUB-WEST,545.0,545.0,,2018-01-23
ORD02290,24545,San Diego,HUB-WEST,25.0,25.0,,2018-01-23
ORD02306,21960,San Antonio,HUB-SOUTH,1.0,1.0,,2018-01-23
ORD02307,11126,Houston,HUB-SOUTH,1.0,1.0,,2018-01-23
ORD02327,18711,Houston,HUB-SOUTH,27.0,36.0,,2018-01-23
ORD02335,13922,Austin,HUB-SOUTH,44.0,44.0,,2018-01-23
ORD02340,7856,Dallas,HUB-SOUTH,11.0,57.0,,2018-01-23
ORD02366,23310,San Antonio,HUB-SOUTH,1.0,1.0,,2018-01-23
ORD02446,2274,Indianapolis,HUB-MID,10.0,10.0,,2018-01-24
ORD02485,6033,San Diego,HUB-WEST,1.0,1.0,,2018-01-24
ORD02507,12517,Fort Worth,HUB-SOUTH,1.0,1.0,,2018-01-24
ORD02510,12815,Houston,HUB-SOUTH,1.0,1.0,,2018-01-24
ORD02525,19811,San Antonio,HUB-SOUTH,1.0,1.0,,2018-01-24
ORD02534,13689,San Francisco,HUB-WEST,194.0,1362.0,,2018-01-24
ORD02544,38333,San Francisco,HUB-WEST,1.0,1.0,,2018-01-24
ORD02552,31772,Phoenix,HUB-WEST,1.0,1.0,,2018-01-24
ORD02558,5093,New York,HUB-EAST,1.0,1.0,,2018-01-24
ORD02559,3869,Jacksonville,HUB-EAST,1.0,1.0,,2018-01-24
ORD02563,6840,Dallas,HUB-SOUTH,1.0,1.0,,2018-01-24
ORD02596,3693,Austin,HUB-SOUTH,2.0,3.0,,2018-01-25
ORD02636,17789,San Antonio,HUB-SOUTH,1.0,1.0,,2018-01-25
ORD02644,19881,San Jose,HUB-WEST,1.0,1.0,,2018-01-25
ORD02647,6879,Indianapolis,HUB-MID,1.0,1.0,,2018-01-25
ORD02650,29451,Seattle,HUB-WEST,1.0,1.0,,2018-01-25
ORD02653,23246,San Diego,HUB-WEST,1.0,1.0,,2018-01-25
ORD02658,28385,Columbus,HUB-MID,1.0,1.0,,2018-01-25
ORD02664,17511,Phoenix,HUB-WEST,1.0,1.0,,2018-01-25
ORD02675,7935,Jacksonville,HUB-EAST,2.0,2.0,,2018-01-25
ORD02715,22351,San Jose,HUB-WEST,380.0,380.0,,2018-01-25
ORD02743,24110,Denver,HUB-WEST,1.0,1.0,,2018-01-25
ORD02764,976,Phoenix,HUB-WEST,14.0,14.0,,2018-01-25
ORD02829,2535,Chicago,HUB-MID,1.0,1.0,,2018-01-26
ORD02876,24290,Columbus,HUB-MID,286.0,286.0,,2018-01-26
ORD02882,2691,Jacksonville,HUB-EAST,1.0,1.0,,2018-01-26
ORD02901,35944,San Francisco,HUB-WEST,1.0,1.0,,2018-01-26
ORD02954,14075,Philadelphia,HUB-EAST,2.0,3.0,,2018-01-29
ORD02993,7173,Seattle,HUB-WEST,5.0,5.0,,2018-01-29
ORD03009,16124,San Francisco,HUB-WEST,1.0,1.0,,2018-01-29
ORD03010,3607,San Diego,HUB-WEST,1.0,1.0,,2018-01-29
ORD03022,18419,San Diego,HUB-WEST,109.0,109.0,,2018-01-29
ORD03028,22885,Phoenix,HUB-WEST,545.0,545.0,,2018-01-29
ORD03029,35231,Seattle,HUB-WEST,1043.0,1043.0,,2018-01-29
ORD03041,36381,Philadelphia,HUB-EAST,1.0,1.0,,2018-01-29
ORD03042,21017,San Antonio,HUB-SOUTH,1.0,1.0,,2018-01-29
ORD03052,22106,Indianapolis,HUB-MID,45.0,66.0,,2018-01-29
ORD03095,22433,Indianapolis,HUB-MID,1.0,3.0,,2018-01-30
ORD03112,24485,Los Angeles,HUB-WEST,9.0,9.0,,2018-01-30
ORD03133,5535,Los Angeles,HUB-WEST,5.0,12.0,,2018-01-30
ORD03160,31876,Chicago,HUB-MID,1.0,1.0,,2018-01-30
ORD03165,24342,Dallas,HUB-SOUTH,2112.0,2112.0,,2018-01-30
ORD03194,31331,Charlotte,HUB-EAST,20.0,84.0,,2018-01-30
ORD03195,27795,Houston,HUB-SOUTH,5.0,5.0,,2018-01-30
ORD03214,150,Jacksonville,HUB-EAST,1.0,1.0,,2018-01-30
ORD03217,31836,Dallas,HUB-SOUTH,1.0,1.0,,2018-01-30
ORD03234,20937,Jacksonville,HUB-EAST,109.0,109.0,,2018-01-30
ORD03251,671,Charlotte,HUB-EAST,8.0,8.0,,2018-01-30
ORD03276,1015,Los Angeles,HUB-WEST,1.0,1.0,,2018-01-30
ORD03280,22351,Los Angeles,HUB-WEST,970.0,6807.0,651.0,2018-01-30
ORD03290,22556,Dallas,HUB-SOUTH,1.0,1.0,,2018-01-30
ORD03299,30164,San Francisco,HUB-WEST,1.0,1.0,,2018-01-30
ORD03307,10045,Chicago,HUB-MID,1.0,1.0,,2018-01-30
ORD03310,18328,Austin,HUB-SOUTH,1.0,1.0,,2018-01-30
ORD03312,24448,Denver,HUB-WEST,1.0,1.0,,2018-01-30
ORD03332,33907,Phoenix,HUB-WEST,35.0,156.0,,2018-01-30
ORD03356,5197,Los Angeles,HUB-WEST,1.0,1.0,,2018-01-30
ORD03377,26793,Jacksonville,HUB-EAST,2.0,3.0,,2018-01-31
ORD03390,22011,Philadelphia,HUB-EAST,1.0,3.0,,2018-01-31
ORD03395,23563,Indianapolis,HUB-MID,6.0,6.0,,2018-01-31
ORD03396,33460,San Jose,HUB-WEST,6.0,6.0,,2018-01-31
ORD03404,3693,San Diego,HUB-WEST,6.0,6.0,,2018-01-31
ORD03447,18356,Jacksonville,HUB-EAST,6.0,18.0,,2018-01-31
ORD03487,19517,Nashville,HUB-EAST,24.0,66.0,,2018-01-31
ORD03521,23724,San Antonio,HUB-SOUTH,2.0,2.0,,2018-01-31
ORD03526,1450,Chicago,HUB-MID,121.0,189.0,,2018-01-31
ORD03541,22787,Jacksonville,HUB-EAST,110.0,186.0,,2018-01-31
ORD03554,33208,Dallas,HUB-SOUTH,1.0,1.0,,2018-01-31
ORD03605,24943,Chicago,HUB-MID,1.0,1.0,,2018-01-31
ORD03608,1625,Fort Worth,HUB-SOUTH,1.0,1.0,,2018-01-31
ORD03620,18952,Nashville,HUB-EAST,1.0,1.0,,2018-01-31
ORD03621,19957,Phoenix,HUB-WEST,1.0,1.0,,2018-01-31
ORD03623,24660,Dallas,HUB-SOUTH,1.0,1.0,,2018-01-31
ORD03631,32322,Austin,HUB-SOUTH,1.0,1.0,,2018-01-31
ORD03632,22131,New York,HUB-EAST,1.0,1.0,,2018-01-31
ORD03643,21803,San Jose,HUB-WEST,249.0,249.0,,2018-01-31
ORD03721,9797,Jacksonville,HUB-EAST,1.0,1.0,,2018-01-31
ORD03722,6026,Indianapolis,HUB-MID,1.0,1.0,,2018-01-31
ORD03727,12590,Austin,HUB-SOUTH,3.0,3.0,,2018-02-01
ORD03730,36800,Charlotte,HUB-EAST,2.0,9.0,,2018-02-01
ORD03738,39429,Columbus,HUB-MID,11.0,24.0,,2018-02-01
ORD03779,35754,Dallas,HUB-SOUTH,1.0,1.0,,2018-02-01
ORD03795,22353,Philadelphia,HUB-EAST,1.0,3.0,,2018-02-02
ORD03796,22347,Columbus,HUB-MID,1.0,3.0,,2018-02-02
ORD03797,22472,Los Angeles,HUB-WEST,1.0,3.0,,2018-02-02
ORD03803,22475,New York,HUB-EAST,1.0,3.0,,2018-02-02
ORD03804,22476,New York,HUB-EAST,1.0,3.0,,2018-02-02
ORD03805,22477,San Francisco,HUB-WEST,1.0,3.0,,2018-02-02
ORD03814,3449,San Diego,HUB-WEST,6.0,6.0,,2018-02-02
ORD03890,2537,Jacksonville,HUB-EAST,5.0,5.0,,2018-02-02
ORD03893,6114,Phoenix,HUB-WEST,545.0,545.0,,2018-02-02
ORD03907,13200,Nashville,HUB-EAST,4.0,4.0,,2018-02-02
ORD03915,2153,Los Angeles,HUB-WEST,1.0,1.0,,2018-02-02
ORD03944,23420,Chicago,HUB-MID,5.0,5.0,,2018-02-02
ORD03966,18711,Indianapolis,HUB-MID,262.0,262.0,,2018-02-02
ORD03986,1867,San Antonio,HUB-SOUTH,3.0,3.0,,2018-02-05
ORD04007,21110,Columbus,HUB-MID,500.0,500.0,,2018-02-05
ORD04028,14603,Columbus,HUB-MID,1.0,1.0,,2018-02-05
ORD04033,1083,Philadelphia,HUB-EAST,1.0,1.0,,2018-02-05
ORD04072,24120,San Francisco,HUB-WEST,6.0,6.0,,2018-02-06
ORD04075,24726,New York,HUB-EAST,6.0,6.0,,2018-02-06
ORD04087,24545,Denver,HUB-WEST,5.0,12.0,,2018-02-06
ORD04093,12560,Dallas,HUB-SOUTH,9.0,18.0,,2018-02-06
ORD04186,23984,Philadelphia,HUB-EAST,104.0,104.0,,2018-02-06
ORD04352,3102,Jacksonville,HUB-EAST,2.0,2.0,,2018-02-07
ORD04355,2318,San Francisco,HUB-WEST,1.0,1.0,,2018-02-07
ORD04357,1144,Philadelphia,HUB-EAST,1.0,1.0,,2018-02-07
ORD04363,28367,Nashville,HUB-EAST,1.0,1.0,,2018-02-07
ORD04401,29716,Chicago,HUB-MID,4.0,4.0,,2018-02-07
ORD04406,35607,Philadelphia,HUB-EAST,10.0,10.0,,2018-02-07
ORD04407,23536,Houston,HUB-SOUTH,22.0,45.0,,2018-02-07
ORD04409,8550,San Antonio,HUB-SOUTH,10.0,10.0,,2018-02-07
ORD04412,17573,San Antonio,HUB-SOUTH,1.0,1.0,,2018-02-07
ORD04447,8397,Houston,HUB-SOUTH,3.0,18.0,,2018-02-08
ORD04468,13939,Seattle,HUB-WEST,4.0,4.0,,2018-02-08
ORD04473,4279,Chicago,HUB-MID,8.0,8.0,,2018-02-08
ORD04488,18675,Columbus,HUB-MID,4.0,4.0,,2018-02-08
ORD04494,19384,San Antonio,HUB-SOUTH,4.0,4.0,,2018-02-08
ORD04495,27811,Fort Worth,HUB-SOUTH,768.0,1197.0,,2018-02-08
ORD04505,26793,San Diego,HUB-WEST,9.0,36.0,,2018-02-08
ORD04518,25670,Charlotte,HUB-EAST,1.0,1.0,,2018-02-08
ORD04522,6754,Austin,HUB-SOUTH,7.0,7.0,,2018-02-08
ORD04536,38436,Los Angeles,HUB-WEST,8.0,8.0,,2018-02-08
ORD04565,9014,San Antonio,HUB-SOUTH,10.0,10.0,,2018-02-08
ORD04570,9014,Columbus,HUB-MID,1.0,1.0,,2018-02-08
ORD04571,4553,Los Angeles,HUB-WEST,1.0,1.0,,2018-02-08
ORD04581,4503,Nashville,HUB-EAST,3.0,3.0,,2018-02-09
ORD04611,24485,San Antonio,HUB-SOUTH,8.0,9.0,,2018-02-09
ORD04646,12726,Charlotte,HUB-EAST,16.0,21.0,,2018-02-09
ORD04659,9602,San Jose,HUB-WEST,22.0,27.0,,2018-02-09
ORD04661,10037,Jacksonville,HUB-EAST,17.0,27.0,,2018-02-09
ORD04699,5321,New York,HUB-EAST,2.0,2.0,,2018-02-09
ORD04710,19328,Philadelphia,HUB-EAST,107.0,552.0,,2018-02-09
ORD04794,22351,San Diego,HUB-WEST,1147.0,4989.0,,2018-02-09
ORD04862,23880,Seattle,HUB-WEST,3.0,3.0,,2018-02-13
ORD04863,23877,Charlotte,HUB-EAST,3.0,3.0,,2018-02-13
ORD04873,18712,Jacksonville,HUB-EAST,6.0,6.0,,2018-02-13
ORD04875,23879,Columbus,HUB-MID,6.0,6.0,,2018-02-13
ORD04893,25493,New York,HUB-EAST,15.0,15.0,,2018-02-13
ORD04905,9499,Fort Worth,HUB-SOUTH,6.0,12.0,,2018-02-13
ORD04910,17191,Denver,HUB-WEST,21.0,21.0,,2018-02-13
ORD04911,17192,Austin,HUB-SOUTH,21.0,21.0,,2018-02-13
ORD04925,5112,Los Angeles,HUB-WEST,1.0,1.0,,2018-02-13
ORD04940,5261,Charlotte,HUB-EAST,1.0,1.0,,2018-02-13
ORD04941,15315,Dallas,HUB-SOUTH,1.0,1.0,,2018-02-13
ORD04961,23882,Austin,HUB-SOUTH,5.0,5.0,,2018-02-13
ORD04985,12964,Los Angeles,HUB-WEST,1.0,1.0,,2018-02-13
ORD04992,14250,Nashville,HUB-EAST,1.0,1.0,,2018-02-13
ORD04993,9480,Jacksonville,HUB-EAST,1.0,1.0,,2018-02-13
ORD04994,11423,Fort Worth,HUB-SOUTH,1.0,1.0,,2018-02-13
ORD04995,14516,Phoenix,HUB-WEST,1.0,1.0,,2018-02-13
ORD04997,5089,San Francisco,HUB-WEST,1.0,1.0,,2018-02-13
ORD04999,16469,San Jose,HUB-WEST,1.0,1.0,,2018-02-13
ORD05006,36858,San Jose,HUB-WEST,26.0,26.0,,2018-02-13
ORD05009,14135,Philadelphia,HUB-EAST,1.0,1.0,,2018-02-13
ORD05016,10816,Los Angeles,HUB-WEST,1.0,1.0,,2018-02-13
ORD05017,10416,Austin,HUB-SOUTH,1.0,1.0,,2018-02-13
ORD05020,6211,Seattle,HUB-WEST,1.0,1.0,,2018-02-13
ORD05028,24448,Charlotte,HUB-EAST,1.0,1.0,,2018-02-13
ORD05058,36443,Philadelphia,HUB-EAST,2.0,2.0,,2018-02-13
ORD05074,5535,Chicago,HUB-MID,1.0,1.0,,2018-02-13
ORD05075,22433,San Diego,HUB-WEST,1.0,1.0,,2018-02-13
ORD05076,17072,San Antonio,HUB-SOUTH,1.0,1.0,,2018-02-13
ORD05077,7941,New York,HUB-EAST,1.0,1.0,,2018-02-13
ORD05078,39675,San Francisco,HUB-WEST,1.0,1.0,,2018-02-13
ORD05079,6001,Austin,HUB-SOUTH,1.0,1.0,,2018-02-13
ORD05129,33759,Fort Worth,HUB-SOUTH,21.0,21.0,,2018-02-14
ORD05132,22106,San Jose,HUB-WEST,21.0,21.0,,2018-02-14
ORD05144,35476,Fort Worth,HUB-SOUTH,37.0,37.0,,2018-02-14
ORD05148,32551,San Diego,HUB-WEST,42.0,42.0,,2018-02-14
ORD05166,3531,Charlotte,HUB-EAST,13.0,13.0,,2018-02-14
ORD05174,1982,Phoenix,HUB-WEST,4.0,4.0,,2018-02-14
ORD05195,9670,Dallas,HUB-SOUTH,1.0,1.0,,2018-02-14
ORD05196,15409,Denver,HUB-WEST,1.0,1.0,,2018-02-14
ORD05201,27315,Dallas,HUB-SOUTH,1.0,1.0,,2018-02-14
ORD05203,23216,Columbus,HUB-MID,1.0,1.0,,2018-02-14
ORD05204,6286,Austin,HUB-SOUTH,1.0,1.0,,2018-02-14
ORD05210,36588,Chicago,HUB-MID,1.0,1.0,,2018-02-14
ORD05217,22696,Columbus,HUB-MID,4.0,4.0,,2018-02-14
ORD05220,13107,San Antonio,HUB-SOUTH,1.0,1.0,,2018-02-14
ORD05221,36587,Seattle,HUB-WEST,1.0,1.0,,2018-02-14
ORD05227,8546,Indianapolis,HUB-MID,1.0,1.0,,2018-02-14
ORD05230,23230,Chicago,HUB-MID,1.0,1.0,,2018-02-14
ORD05236,40329,Jacksonville,HUB-EAST,1.0,1.0,,2018-02-14
